city,site_num,date_local,CO_AQI,city-2,site_num-2,date_local-2,CO_AQI-2
Park Hill,9002,3/3/2000,1,San Diego,1007,3/3/2000,14
Park Hill,9002,3/4/2000,2,San Diego,1007,3/4/2000,20
Park Hill,9002,3/5/2000,3,San Diego,1007,3/5/2000,11
Park Hill,9002,3/6/2000,1,San Diego,1007,3/6/2000,15
Park Hill,9002,3/7/2000,3,San Diego,1007,3/7/2000,15
Park Hill,9002,3/16/2000,0,San Diego,1007,3/16/2000,14
Park Hill,9002,3/17/2000,0,San Diego,1007,3/17/2000,16
Park Hill,9002,3/18/2000,1,San Diego,1007,3/18/2000,22
Park Hill,9002,3/19/2000,1,San Diego,1007,3/19/2000,33
Park Hill,9002,3/20/2000,2,San Diego,1007,3/20/2000,15
Park Hill,9002,3/21/2000,2,San Diego,1007,3/21/2000,19
Park Hill,9002,3/22/2000,2,San Diego,1007,3/22/2000,20
Park Hill,9002,3/23/2000,1,San Diego,1007,3/23/2000,22
Park Hill,9002,3/24/2000,3,San Diego,1007,3/24/2000,13
Park Hill,9002,3/27/2000,1,San Diego,1007,3/27/2000,7
Park Hill,9002,3/28/2000,1,San Diego,1007,3/28/2000,7
Park Hill,9002,3/29/2000,2,San Diego,1007,3/29/2000,8
Park Hill,9002,3/30/2000,2,San Diego,1007,3/30/2000,10
Park Hill,9002,3/31/2000,2,San Diego,1007,3/31/2000,18
Park Hill,9002,4/1/2000,2,San Diego,1007,4/1/2000,23
Park Hill,9002,4/2/2000,2,San Diego,1007,4/2/2000,16
Park Hill,9002,4/3/2000,2,San Diego,1007,4/3/2000,17
Park Hill,9002,4/4/2000,1,San Diego,1007,4/4/2000,13
Park Hill,9002,4/5/2000,1,San Diego,1007,4/5/2000,11
Park Hill,9002,4/6/2000,2,San Diego,1007,4/6/2000,33
Park Hill,9002,4/7/2000,1,San Diego,1007,4/7/2000,28
Park Hill,9002,4/8/2000,1,San Diego,1007,4/8/2000,51
Park Hill,9002,4/9/2000,2,San Diego,1007,4/9/2000,51
Park Hill,9002,4/10/2000,1,San Diego,1007,4/10/2000,39
Park Hill,9002,4/11/2000,1,San Diego,1007,4/11/2000,41
Park Hill,9002,4/12/2000,1,San Diego,1007,4/12/2000,42
Park Hill,9002,4/13/2000,1,San Diego,1007,4/13/2000,50
Park Hill,9002,4/14/2000,2,San Diego,1007,4/14/2000,5
Park Hill,9002,4/15/2000,1,San Diego,1007,4/15/2000,8
Park Hill,9002,4/16/2000,1,San Diego,1007,4/16/2000,15
Park Hill,9002,4/17/2000,2,San Diego,1007,4/17/2000,11
Park Hill,9002,4/18/2000,2,San Diego,1007,4/18/2000,6
Park Hill,9002,4/19/2000,1,San Diego,1007,4/19/2000,13
Park Hill,9002,4/20/2000,1,San Diego,1007,4/20/2000,17
Park Hill,9002,4/21/2000,1,San Diego,1007,4/21/2000,6
Park Hill,9002,4/22/2000,2,San Diego,1007,4/22/2000,5
Park Hill,9002,4/23/2000,1,San Diego,1007,4/23/2000,6
Park Hill,9002,4/24/2000,1,San Diego,1007,4/24/2000,8
Park Hill,9002,4/25/2000,1,San Diego,1007,4/25/2000,14
Park Hill,9002,4/26/2000,1,San Diego,1007,4/26/2000,26
Park Hill,9002,4/27/2000,0,San Diego,1007,4/27/2000,8
Park Hill,9002,4/28/2000,0,San Diego,1007,4/28/2000,6
Park Hill,9002,4/29/2000,0,San Diego,1007,4/29/2000,10
Park Hill,9002,4/30/2000,0,San Diego,1007,4/30/2000,18
Park Hill,9002,5/1/2000,0,San Diego,1007,5/1/2000,14
Park Hill,9002,5/2/2000,0,San Diego,1007,5/2/2000,8
Park Hill,9002,5/3/2000,0,San Diego,1007,5/3/2000,6
Park Hill,9002,5/4/2000,0,San Diego,1007,5/4/2000,8
Park Hill,9002,5/5/2000,1,San Diego,1007,5/5/2000,7
Park Hill,9002,5/6/2000,1,San Diego,1007,5/6/2000,9
Park Hill,9002,5/7/2000,1,San Diego,1007,5/7/2000,9
Park Hill,9002,5/8/2000,1,San Diego,1007,5/8/2000,6
Park Hill,9002,5/9/2000,1,San Diego,1007,5/9/2000,8
Park Hill,9002,5/10/2000,2,San Diego,1007,5/10/2000,7
Park Hill,9002,5/11/2000,1,San Diego,1007,5/11/2000,9
Park Hill,9002,5/12/2000,1,San Diego,1007,5/12/2000,17
Park Hill,9002,5/13/2000,1,San Diego,1007,5/13/2000,22
Park Hill,9002,5/14/2000,1,San Diego,1007,5/14/2000,9
Park Hill,9002,5/15/2000,1,San Diego,1007,5/15/2000,10
Park Hill,9002,5/16/2000,1,San Diego,1007,5/16/2000,7
Park Hill,9002,5/17/2000,1,San Diego,1007,5/17/2000,9
Park Hill,9002,5/18/2000,1,San Diego,1007,5/18/2000,10
