"city","max"
"Calexico",201
"Mexicali",150
"Hawthorne",77
"St. Louis",72
"Costa Mesa",69
"Burbank",68
"Los Angeles",66
"Tijuana",65
"Houston",65
"San Diego",65
"Manchester",64
"Long Beach",63
"Baton Rouge",62
"Chula Vista",60
"Phoenix",59
"West Los Angeles",59
"Arden-Arcade",59
"El Paso",59
"Kenner",59
"Washington",58
"Davenport",58
"Oakland",57
"Victorville",57
"Vallejo",57
"Kansas City",57
"Camden",56
"New York",55
"Winter Park",53
"Philadelphia",51
"Detroit",51
"Denver",50
"Rubidoux",48
"Fresno",47
"Not in a city",47
"East Saint Louis",43
"Bakersfield",43
"McLean",43
"Fairbanks",43
"Charlotte",42
"Cicero",42
"Dallas",42
"Welby",41
"Calumet City (PU RR name Calumet Park (sta.))",39
"San Francisco",38
"Scottsdale",38
"Rosarito",38
"Newark",36
"Boston",35
"Essex",33
"Indianapolis (Remainder)",33
"Holtsville",32
"Seven Corners",32
"Concord",31
"North Little Rock",31
"Portland",31
"Tucson",31
"Salt Lake City",31
"Pittsburgh",30
"Freemansburg",30
"San Jose",28
"Pittsburg",28
"Lexington-Fayette (corporate name for Lexington)",27
"Milwaukee",27
"Ponca City",27
"Bristol",26
"Chicago",26
"Ladue",25
"Alexandria",25
"Tulsa",25
"San Antonio",24
"Albuquerque",23
"Berkeley",23
"Norristown",23
"Oklahoma City",23
"Reno",23
"Goleta",22
"San Pablo",22
"Lompoc",22
"El Cajon",22
"Reading",22
"York",22
"St. Ann",22
"Louisville",20
"Paducah",20
"Birmingham",20
"New Castle",19
"Fontana",19
"Lancaster",19
"Capitan",19
"Annandale",19
"Johnstown",19
"Grand Rapids",18
"New Haven",18
"Eureka",18
"Hampton",18
"Crockett",18
"Scranton",18
"Breckenridge Hills",18
"Sunset Hills",17
"Beaver Falls",17
"Erie",17
"Bethel Island",17
"Henderson",17
"Wilmington",17
"Greensburg",17
"Charleroi",17
"Cupertino",16
"East Highland Park",16
"Boulder City",16
"Ferguson",16
"Northbrook",15
"Winston-Salem",15
"East Providence",15
"Des Moines",15
"Deer Park",15
"Raleigh",15
"Cornwall",15
"Cleveland",15
"Ashland",15
"Cincinnati",14
"Athens",14
"Blaine",14
"Beltsville",14
"Waco",13
"Altoona",13
"Rochester",11
"Wilkes-Barre",11
"Vandenberg Air Force Base",10
"Sioux Falls",10
"Valrico",10
"East Hartford",10
"Benicia",9
"Seattle",9
"Vinton",9
"Westport",9
"Presque Isle",7
"Park Hill",7
"Dentsville (Dents)",7
"Miami",6
"Austin",6
"Cherry Tree",6
"Grantsville",5
"Roosevelt",3
"Riverton",0
